Name,Image,Source,Ingredients,
How To Make A 3-Course Meal In One Pan • Tasty,http://img.youtube.com/vi/dthjauMsbRw/hqdefault.jpg,https://www.youtube.com/watch?v=dthjauMsbRw&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"bacon, bacon grease, basil, cheese, chocolate, cola, corn, crackers, cream, cream cheese, crush, crust, dough, eggs, flour, fresh basil, fresh mozzarella, graham crackers, ham, jalape, marshmallows, methi, milk, milk chocolate, mint, mozzarella cheese, pastry, pepper, pepperoni, pesto, pie crust, pizza sauce, pork, puff pastry, soup, whipped cream",
We Tried Cooking With Our Moms On Zoom • Tasty,http://img.youtube.com/vi/iZVxXpz73KM/hqdefault.jpg,https://www.youtube.com/watch?v=iZVxXpz73KM&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"ale, bok choy, butter, carrots, cheese, chicken, corn, corn starch, dill, flour, gin, ginger, ham, methi, mustard, onions, panko, parsley, potatoes, rice, rum, sage, sausages, spinach, starch, veal, veggies",
One-Pot. Kid Friendly. Mom Approved: Hamburger Helper From Scratch • Tasty,http://img.youtube.com/vi/SwWFhzgXgsk/hqdefault.jpg,https://www.youtube.com/watch?v=SwWFhzgXgsk&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"bacon, beef, beef stock, bell pepper, carrots, cheese, chicken, cream, garlic, ground beef, ham, hamburger, herbs, methi, milk, noodles, onions, paprika, parsley, pasta, pepper, red bell pepper, rice, smoked paprika, soften, starch, thyme, tomato paste, tomatoes, veggies, whole milk",
I Made Fried Chicken And Waffles With Leftover Sourdough Starter • Tasty,http://img.youtube.com/vi/a_TwEAo9RuU/hqdefault.jpg,https://www.youtube.com/watch?v=a_TwEAo9RuU&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"all-purpose flour, baking powder, bread, butter, buttermilk, chicken, chicken thighs, dough, eggs, flour, garlic, garlic powder, juice, lemon, lemon juice, methi, milk, onion powder, pepper, sourdough, sourdough bread, whole milk, yeast",
Can This Chef Make Tater Tots Fancy? • Tasty,http://img.youtube.com/vi/NWttynGJIHI/hqdefault.jpg,https://www.youtube.com/watch?v=NWttynGJIHI&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"beef, beef stock, butter, chicken, cream, egg yolks, eggs, flour, garlic, gravy, ground beef, heavy cream, ice cream, melted butter, methi, mushrooms, olive oil, onions, pepper, potatoes, pudding, red wine, rice, rosemary, shiitake, soften, tater tots, thyme,",
I Made 3 Meals With 1 Can Of Spam •xa0Tasty,http://img.youtube.com/vi/nzf2FCMHBJ8/hqdefault.jpg,https://www.youtube.com/watch?v=nzf2FCMHBJ8&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"bread, carrots, fried rice, frozen peas, garlic, gin, ginger, lettuce, nori, oats, onions, peas, rice, soften, soy sauce, spam, starch, vinegar",
Can This Chef Create A Recipe From My Pantry & Fridge? • Tasty,http://img.youtube.com/vi/6ibZezGV0Kc/hqdefault.jpg,https://www.youtube.com/watch?v=6ibZezGV0Kc&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"asparagus, black beans, broccoli, brown rice, cilantro, coco, coconut, coconut milk, cola, corn, cream, curry, curry paste, fresh green bean, fried rice, frozen broccoli, frozen corn, garlic, gin, ginger, green beans, lettuce, methi, milk, noodles, olive oil, onions, pasta, penne, penne pasta, pepper, pesto, rice, rice noodles, spaghetti, tofu,",
3-Minute Vs. 30-Minute Vs. 3-Hour Curry •xa0Tasty,http://img.youtube.com/vi/ChLHWoXitQU/hqdefault.jpg,https://www.youtube.com/watch?v=ChLHWoXitQU&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"bay leaf, beef, black pepper, black peppercorns, bread, butter, cardamom, cayenne, chicken, chickpeas, chili, chili powder, cilantro, cinnamon, coco, coconut, coconut cream, coconut milk, coconut oil, coriander, coriander powder, corn, cream, cubed beef, cumin, curry, curry leaves, curry powder, curry sauce, dough, fennel, fenugreek, fenugreek leaves, fish, flatbread, flour, fresh cilantro, garlic, garlic powder, gin, ginger, juice, lime, lime juice, masala, methi, milk, minced garlic, minced ginger, mustard, mustard seeds, onion powder, onions, peas, pepper, peppercorns, red pepper, rice, roti, sea salt, soften, soup, spinach, steamed rice, tamarind, tamarind paste, tomatoes, wheat, wheat flour, whole wheat flour",
Which Quarantine Recipe Do You Want To Make? • Tasty,http://img.youtube.com/vi/VCDwb5cqQ_E/hqdefault.jpg,https://www.youtube.com/watch?v=VCDwb5cqQ_E&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"bacon, bacon bits, bacon fat, biscuits, black pepper, butter, cake, cake mix, carrots, cauliflower, cheese, chicken, coke, cream, egg whites, eggs, flour, garlic, ice cream, methi, milk, pancake mix, pasta, peas, pepper, potatoes, ramen, roux, shells, soften, veggies, vinegar, white vinegar, white wine, white wine vinegar, wine vinegar, zucchini",
How To Make Dinner and Dessert for Good Gut Health •xa0Tasty,http://img.youtube.com/vi/t13Q0iXrJy8/hqdefault.jpg,https://www.youtube.com/watch?v=t13Q0iXrJy8&list=PL8zglt-LDl-iwBHEl3Pw1IhWGp9cfgMrc&t=0s,"apples, broccoli, broccoli sprouts, butter, cardamom, cayenne, cayenne pepper, chicken, cilantro, cinnamon, coco, coconut, coriander, coriander seeds, crumble topping, cumin, dandelion, dandelion greens, extract, fish, flour, fresh cilantro, garlic, gin, ginger, greens, ground coriander, ham, juice, legumes, lemon, lemon juice, lentils, marinade, mustard, oat flour, oats, olive oil, orange, pectin, pepper, rum, salmon, soften, sprouts, vanilla,",
